,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
1,0298X821,1,OUT,7,0.2,20,40,0.659,0.418,0.485,0.812,-0.646,0.697,3.72,167.0,0.6,NG
3,0298X821,2,OUT,7,0.2,20,40,0.572,0.364,0.506,0.756,-0.603,0.711,3.51,167.0,0.6,NG
2,0298X821,2,OUT,6,0.25,20,40,0.558,0.315,0.422,0.747,-0.562,-0.65,3.25,154.0,0.6,NG
0,0298X821,1,OUT,2,0.2,36,40,0.313,0.414,0.321,-0.56,-0.643,0.567,2.82,103.0,0.6,NG
