,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
5,9701X761,7,OUT,1,0.25,26,45,0.57,0.302,0.382,0.755,0.549,0.618,3.18,270.0,0.68,NG,N
9,9701X761,9,OUT,2,0.2,20,50,0.416,0.326,0.413,0.645,-0.571,0.642,3.01,123.0,0.75,NG,N
4,9701X761,5,OUT,1,0.2,22,70,0.398,0.302,0.43,-0.63,0.55,-0.658,2.97,90.0,1.05,NG,N
1,9701X761,2,OUT,2,0.2,30,55,0.38,0.307,0.381,0.616,-0.554,0.617,2.86,13.0,0.82,NG,N
3,9701X761,2,OUT,4,0.2,28,65,0.327,0.34,0.387,0.572,0.583,0.622,2.83,39.0,0.98,NG,N
2,9701X761,2,OUT,3,0.3,26,55,0.342,0.303,0.327,0.585,0.551,0.572,2.68,26.0,0.82,NG,N
0,9701X853,,,,,,,,,,,,,,,,OK,N
0,9798B511,,,,,,,,,,,,,,,,OK,N
0,9798B901,,,,,,,,,,,,,,,,OK,N
0,9798F521,,,,,,,,,,,,,,,,OK,N
0,9798F531,,,,,,,,,,,,,,,,OK,N
0,9799B702,,,,,,,,,,,,,,,,OK,N
0,9799D222,,,,,,,,,,,,,,,,OK,N
0,9799D331,,,,,,,,,,,,,,,,OK,N
0,9799D441,,,,,,,,,,,,,,,,OK,N
0,9799D541,,,,,,,,,,,,,,,,OK,N
0,9799F461,,,,,,,,,,,,,,,,OK,N
0,9799G121,,,,,,,,,,,,,,,,OK,N
0,9799G371,,,,,,,,,,,,,,,,OK,N
0,9799Z352,,,,,,,,,,,,,,,,OK,N
0,9800P561,,,,,,,,,,,,,,,,OK,N
0,9801A613,,,,,,,,,,,,,,,,OK,N
0,9801C431,,,,,,,,,,,,,,,,OK,N
0,9801C542,,,,,,,,,,,,,,,,OK,N
0,9801P255,,,,,,,,,,,,,,,,OK,N
0,9801P831,,,,,,,,,,,,,,,,OK,N
0,9801Q021,,,,,,,,,,,,,,,,OK,N
0,9801W151,,,,,,,,,,,,,,,,OK,N
0,9801W841,,,,,,,,,,,,,,,,OK,N
