x_value_mean,x_value_std,x_value_max,x_value_min,x_value_range,x_value_median,x_value_q1,x_value_q3,x_value_iqr,x_value_skewness,x_value_kurtosis,x_value_cv,y_value_mean,y_value_std,y_value_max,y_value_min,y_value_range,y_value_median,y_value_q1,y_value_q3,y_value_iqr,y_value_skewness,y_value_kurtosis,y_value_cv,z_value_mean,z_value_std,z_value_max,z_value_min,z_value_range,z_value_median,z_value_q1,z_value_q3,z_value_iqr,z_value_skewness,z_value_kurtosis,z_value_cv,height_range,height_mean,height_std,degree_range,degree_mean,degree_std,num_points,height_density,degree_density,x_value_height_grad_mean,x_value_height_grad_max,x_value_height_grad_std,x_value_degree_grad_mean,x_value_degree_grad_max,x_value_degree_grad_std,x_value_neighbor_diff_mean,x_value_neighbor_diff_max,y_value_height_grad_mean,y_value_height_grad_max,y_value_height_grad_std,y_value_degree_grad_mean,y_value_degree_grad_max,y_value_degree_grad_std,y_value_neighbor_diff_mean,y_value_neighbor_diff_max,z_value_height_grad_mean,z_value_height_grad_max,z_value_height_grad_std,z_value_degree_grad_mean,z_value_degree_grad_max,z_value_degree_grad_std,z_value_neighbor_diff_mean,z_value_neighbor_diff_max,x_value_y_value_corr,x_value_z_value_corr,y_value_z_value_corr,x_value_variability,y_value_variability,z_value_variability,label,poleid,project_name,csv_path
0.005137789966084562,0.004440820287771342,0.013552805943773,-0.0095186226276555,0.0230714285714285,0.0055993460397479,0.0029123297532968,0.0077337583247253,0.0048214285714285,-0.9298732652028816,1.5851958930920764,0.8643444588210033,-0.05415963080364175,0.003470693277254243,-0.0455276557449969,-0.0618888663806571,0.0163612106356602,-0.0540833108251016,-0.0565838663806572,-0.0515283108251016,0.005055555555555598,0.0808219174360293,-0.2809690052873841,0.06408266130611935,-0.01016721493478184,0.007563832779286624,0.0071943599603232,-0.0244442114682481,0.0316385714285713,-0.0098975094268743,-0.0157536205379854,-0.0043680649824298,0.011385555555555598,0.05532253545952986,-0.569615777441594,0.7439434326711146,0.3999999999999999,1.1999999999999997,0.14142135623730945,40.0,320.0,12.909944487358056,45,112.49971875070315,1.1249999718750008,0.0025145894754857183,0.0062677777777776,0.003072136662930001,0.0038581262908150187,0.0093226512070859,0.0045643176508174,0.0022079538145575637,0.0090713964119614,0.0019180542099735208,0.006623333333333294,0.0025497389407377886,0.003738480985302339,0.011271210635660299,0.004340078952969603,0.0019012170742977667,0.007433333333333299,0.00390148007626024,0.0141138888888888,0.005026743727074933,0.008179131591411775,0.0204073809523809,0.010132536550777362,0.0036240466192664134,0.025986190476190302,-0.07855661627372275,-0.118976677210093,0.36743994550303455,0.8643444588210033,0.06408266130611935,0.7439434326711146,1,9621G981,관악동작지사-202312,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/관악동작지사-202312/9621G981/9621G981_OUT_merged_break_crop.csv
-0.019365556504786795,0.0034931818623597866,-0.0126093432161212,-0.0251934897822854,0.0125841465661642,-0.019773156448952098,-0.022282489782285426,-0.0167653432161212,0.005517146566164227,0.25189270432054756,-0.840316513799964,0.18038117631663922,-0.06754814625590431,0.0034450389767891167,-0.0602135103913966,-0.074462316086539,0.014248805695142398,-0.06741391323896775,-0.06982331608653895,-0.06571187848184885,0.004111437604690099,-0.06713870656280793,-0.4549549666322603,0.05100123641791264,-0.022984872666586047,0.003034276216984881,-0.0170568679206341,-0.0288635345873007,0.0118066666666666,-0.02277576909316335,-0.0248334851735654,-0.020744485173565426,0.004088999999999975,-0.13820029206802284,-0.746958727999222,0.13201187846456594,0.30000000000000004,0.8500000000000001,0.1118033988749895,40.0,230.0,12.909944487358056,36,119.99960000133332,0.8999999775000006,0.002968461330461834,0.009898813232830801,0.00370301029674668,0.001650738669538161,0.005081333333333302,0.002077054568589792,0.0029166434314429313,0.0120921465661641,0.0033890515912897885,0.010559472361809097,0.003979353791584308,0.0026486325436707306,0.005632000000000005,0.0030424198554705444,0.002875908734146926,0.004935333333333396,0.003027834888729357,0.0088353333333334,0.0036177110515471854,0.0029214151710935457,0.00604,0.0034177888886010948,0.0023387753050969065,0.0080935309882747,0.40599081955695976,-0.2666463942251327,-0.07457675776484933,0.18038117631663922,0.05100123641791264,0.13201187846456594,1,9721W521,관악동작지사-202312,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/관악동작지사-202312/9721W521/9721W521_OUT_merged_break_crop.csv
-0.011329241305063324,0.0065945939208931804,0.0031694623986403,-0.0262349820458041,0.0294044444444444,-0.011728037601359601,-0.014034009823581824,-0.008307759823581824,0.0057262500000000004,-0.16086575619869878,0.46007232139634313,0.5820861029719518,-0.05660238000751337,0.009679036974743389,-0.0464031361803529,-0.0811531361803529,0.03475,-0.053649525069241755,-0.0576678584025751,-0.04995146951368625,0.007716388888888849,-1.2431346034550803,0.4211317971614319,0.1710005298974813,-0.02961383638104795,0.015596048150925995,0.0150902994214212,-0.0538274783563566,0.0689177777777778,-0.0328097005785788,-0.040596089467467775,-0.02362317280080105,0.016972916666666726,0.9107721523199651,0.6043362726386325,0.5266473397856362,0.30000000000000004,0.8500000000000001,0.1118033988749895,40.0,130.0,12.909944487358056,36,119.99960000133332,0.8999999775000006,0.0035056825396825317,0.0189055555555555,0.00507471638488292,0.005760476190476182,0.0158622222222221,0.007322469130339634,0.0028164444444444404,0.0171288888888888,0.0038433015873015827,0.023244444444444498,0.0061570489721008105,0.011423238095238097,0.032795000000000005,0.014936708809235803,0.0029695555555555543,0.012802222222222194,0.0075928571428571425,0.023733333333333398,0.009198231376604199,0.013962444444444453,0.0350411111111111,0.01807236585704678,0.005605777777777776,0.026502222222222198,0.13436991686838326,0.05569506827528056,0.35221410409942844,0.5820861029719518,0.1710005298974813,0.5266473397856362,1,9622W441,관악동작지사-202312,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/관악동작지사-202312/9622W441/9622W441_OUT_merged_break_crop.csv
-0.011077291233373312,0.01276948277324872,0.0156842643221822,-0.0387657356778178,0.05445,-0.0129257356778177,-0.0210707356778177,-0.0029407356778177,0.01813,0.2796409517412639,-0.38624493872092014,1.1527622145364589,-0.05445537551435419,0.018062123820072537,-0.0315498569958357,-0.0985231903291689,0.06697333333333319,-0.0528798569958357,-0.067133190329169,-0.0389248569958357,0.028208333333333308,-0.6070894851006928,-0.4837112636841008,0.33168670033891223,-0.004914190466715867,0.014386927272551218,0.0275612539777285,-0.0414387460222714,0.0689999999999999,-0.0066220793556047,-0.0110754126889381,-0.0012320793556047,0.0098433333333334,0.0009034108796663221,0.3605685305117228,2.92762915275564,0.40000000000000013,0.9000000000000001,0.14142135623730956,40.0,120.0,12.909944487358056,45,112.4997187507031,1.1249999718750008,0.007107272727272718,0.0358250000000001,0.011462867027699471,0.01339999999999999,0.035305,0.015365537624984707,0.005694015151515141,0.0379533333333332,0.006983939393939393,0.03558333333333331,0.010997182815275444,0.02333212121212119,0.06485333333333321,0.028168901506263194,0.00430734848484848,0.024363333333333306,0.008777121212121214,0.0348166666666667,0.012053667058633083,0.017473863636363593,0.0689999999999999,0.02377938155548592,0.006346893939393936,0.027853333333333202,0.09923393476875444,-0.28154148669379037,0.21702742345197137,1.1527622145364589,0.33168670033891223,2.92762915275564,1,9721B941,관악동작지사-202312,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/관악동작지사-202312/9721B941/9721B941_OUT_merged_break_crop.csv
-0.02204622557140728,0.0062521270198996485,-0.009375892022651,-0.0376492253559844,0.028273333333333404,-0.022430729070557348,-0.025239233076544347,-0.018525899743211,0.0067133333333333454,-0.15866447994970284,0.0743960242376116,0.28359171957345425,-0.06637299269838348,0.010035751634819024,-0.04856105370462,-0.083540167560242,0.034979113855622,-0.06522155644913094,-0.0753703558303118,-0.0588310595294103,0.016539296300901507,-0.13526630600610956,-0.9987184589567759,0.15120233737876107,-0.041942146627259445,0.011882921689288239,-0.0141930794711088,-0.0559995989321867,0.0418065194610779,-0.0451552244662227,-0.051074182265520074,-0.038044738889147625,0.013029443376372449,0.9839575259897314,-0.14809317951851053,0.2833169650302347,0.29999999999999993,0.5499999999999999,0.11180339887498947,40.0,270.0,12.909944487358056,36,119.99960000133336,0.8999999775000006,0.00573747841612076,0.014574821606786505,0.00691756932443406,0.006623374390913281,0.028273333333333404,0.008567739842907512,0.005368664619978966,0.014574821606786505,0.006579007211678364,0.017925422491456892,0.008324323093895686,0.010948327689769782,0.03321222222222219,0.013829561875024605,0.005468024652809061,0.022679246919720696,0.005643932094958889,0.015690000000000003,0.007385915823494931,0.01514406749083383,0.038403888888888904,0.019070917983108903,0.005186273303767466,0.029548748931928,-0.006760047614479798,-0.2008656288529387,0.20535359821005467,0.28359171957345425,0.15120233737876107,0.2833169650302347,1,9821D281,관악동작지사-202312,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/관악동작지사-202312/9821D281/9821D281_OUT_merged_break_crop.csv
-0.023957308056767924,0.004626667407881732,-0.0104447154641753,-0.0343780487975087,0.0239333333333334,-0.025061382130842,-0.0268280487975087,-0.0195780487975087,0.007250000000000003,0.5619736802153035,0.31739694953041653,0.19312133887992067,-0.04869821100552063,0.0038600781814012,-0.0389478406351502,-0.0544478406351503,0.015500000000000097,-0.0486478406351503,-0.0518478406351503,-0.0468311739684836,0.005016666666666697,0.7994149246346216,0.31729157480687276,0.07926529746572426,0.0007159323462100002,0.008736659875991,0.0216722286425063,-0.0246944380241603,0.0463666666666666,0.0027388953091729,-0.0019777713574936,0.0055555619758396,0.007533333333333199,-0.8480239713558024,1.357159389264302,12.203191994664152,0.3999999999999999,1.0000000000000002,0.1414213562373095,40.0,40.0,12.909944487358056,45,112.49971875070315,1.1249999718750008,0.00349015151515152,0.016133333333333402,0.005138871795320648,0.004451515151515157,0.0184,0.006055098302253577,0.0031689393939394028,0.014600000000000002,0.0019954545454545472,0.007899999999999997,0.0028862850939763065,0.004101515151515161,0.015500000000000097,0.006015822800493916,0.001625757575757584,0.0092,0.004041666666666665,0.0238,0.006348897162426195,0.009582575757575686,0.0357999999999999,0.01310754554558429,0.0037121212121212044,0.023366666666666702,0.09916895598143434,-0.2790260351742904,-0.4596944579980698,0.19312133887992067,0.07926529746572426,12.203191994664152,1,6145B792,대구 김천-202403,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/대구 김천-202403/6145B792/6145B792_OUT_merged_break_crop.csv
-0.02153943691042262,0.003860250557888199,-0.0126263740690068,-0.0271570463280996,0.0145306722590928,-0.0210507963280996,-0.0245094213280996,-0.0197115463280996,0.004797875,0.7305893425868705,0.02446602853969182,0.17921780285817407,-0.05321830047213029,0.0010726142617459523,-0.0517692372844694,-0.0560501833705879,0.004280946086118495,-0.0528961833705879,-0.0541330583705879,-0.05223934880599903,0.001893709564588869,-0.628127028890233,-0.4620813961905861,0.02015498902126095,-0.024625718295857874,0.0022599725537483834,-0.0177055297826625,-0.0276579449850073,0.009952415202344803,-0.0248584449850073,-0.0265249449850073,-0.023471569985007303,0.003053374999999997,0.857421006699316,0.8365757479903886,0.09177285822068866,0.30000000000000004,0.8500000000000001,0.1118033988749895,40.0,110.0,12.909944487358056,36,119.99960000133332,0.8999999775000006,0.003219391594675702,0.0125326722590928,0.004268255074296738,0.0008551620645455082,0.006309172259092801,0.001370510708242771,0.0027595915946757024,0.011857172259092802,0.0008011760497612716,0.003959999999999998,0.001230502269189126,0.0005926586832537567,0.0019889999999999977,0.0007453996051348285,0.0005249698881748144,0.0026269460861184993,0.002267540183326103,0.0098664152023448,0.003345889064012042,0.00098426900578128,0.004992915202344798,0.0014818710072744513,0.0019972258976118174,0.0098664152023448,0.5444949493701081,0.12288520344022082,-0.202932827639767,0.17921780285817407,0.02015498902126095,0.09177285822068866,1,9691R581,광주전남서광주-202409,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/광주전남서광주-202409/9691R581/9691R581_OUT_merged_break_crop.csv
-0.016226731031409043,0.002569672277142278,-0.0099296365869646,-0.0200456365869646,0.010116,-0.0159416365869646,-0.0187481365869646,-0.0143816365869646,0.004366500000000001,0.30322459928908974,-0.7192325757552607,0.15836044069309635,-0.05476950868458405,0.0008194599906999882,-0.0530350031290285,-0.0565720031290285,0.0035369999999999985,-0.0548100031290285,-0.0553420031290285,-0.0541492531290285,0.0011927499999999994,0.004866992196157466,-0.5510510885072661,0.014961974470489295,-0.02808251235171268,0.0015450088480708725,-0.0240190845739349,-0.0315240845739349,0.007505000000000001,-0.0281820845739349,-0.0289630845739349,-0.0274450845739349,0.0015179999999999985,0.46211776398255616,0.5789599503168215,0.05501676020723432,0.3999999999999999,1.0000000000000002,0.1414213562373095,40.0,60.0,12.909944487358056,45,112.49971875070315,1.1249999718750008,0.001693295454545455,0.008565500000000002,0.0024767274034378675,0.0007455000000000001,0.003918,0.0011126369349980707,0.0014585227272727271,0.0083805,0.000559022727272727,0.0017964999999999995,0.0007296802680946591,0.0006995909090909094,0.0015599999999999989,0.0008217340682203503,0.00047925,0.0025120000000000003,0.0010651363636363638,0.004816500000000001,0.0014020438328915304,0.0012361477272727272,0.004569999999999998,0.0016382420682310354,0.0010299545454545457,0.0050895,0.6015766043254567,-0.44013527561994337,-0.17150966630757658,0.15836044069309635,0.014961974470489295,0.05501676020723432,1,9291H651,광주전남서광주-202409,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/광주전남서광주-202409/9291H651/9291H651_OUT_merged_break_crop.csv
-0.016072492907933278,0.0014875708757365164,-0.0128953401301555,-0.0187953401301555,0.0059000000000000025,-0.0163890901301555,-0.0171578401301555,-0.0149359651301555,0.0022218750000000016,0.4153452721121166,-0.7622909315043547,0.09255383618817845,-0.06089963363045248,0.0015639714737914398,-0.0575417169637858,-0.0643542169637858,0.006812500000000006,-0.0608729669637858,-0.0617667169637859,-0.0598667169637858,0.001900000000000096,-0.07189444366367632,-0.1582508766310653,0.025681131076778527,-0.01948433539996982,0.0035946490314007875,-0.0097971131777476,-0.0298346131777476,0.0200375,-0.0190471131777476,-0.0214658631777476,-0.0175971131777476,0.0038687500000000007,-0.3003646197635042,1.1709089897304779,0.1844891784918851,0.3999999999999999,1.0000000000000002,0.1414213562373095,40.0,220.0,12.909944487358056,45,112.49971875070315,1.1249999718750008,0.001067329545454546,0.0031687500000000014,0.0013506695878287695,0.0016973011363636365,0.0059000000000000025,0.002110784547796978,0.0008147727272727272,0.003993749999999999,0.0007299715909090822,0.0031375000000000985,0.0009820235837069452,0.0017815340909091094,0.005600000000000098,0.002287954175772318,0.0006019886363636321,0.0033249999999999946,0.002556676136363637,0.009587500000000002,0.003619963550282226,0.0031582386363636365,0.0173875,0.004626944213695504,0.0019207386363636369,0.012237500000000002,0.045677724221118404,0.23010419511702737,0.15086367082954572,0.09255383618817845,0.025681131076778527,0.1844891784918851,1,9691R631,광주전남서광주-202409,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/광주전남서광주-202409/9691R631/9691R631_OUT_merged_break_crop.csv
-0.011729613795788043,0.003839927608608258,-0.0030586415735658,-0.0196819749068992,0.0166233333333334,-0.0113111415735658,-0.014682808240232475,-0.009496141573565826,0.0051866666666666485,0.14375734000401205,-0.5010082541354399,0.3273703359259047,-0.06867867975589499,0.006677832049886281,-0.0486985871633024,-0.0790419204966357,0.030343333333333306,-0.07056358716330241,-0.0733877538299691,-0.06651525382996908,0.0068725000000000175,1.1315824983093963,0.8286365200103583,0.0972329706048709,-0.006610979362370381,0.00603044958476217,0.0062068447117036,-0.0193031552882963,0.0255099999999999,-0.0074481552882963,-0.0087731552882963,-0.0036039886216296,0.0051691666666666995,0.04781726018672375,-0.3093036183491109,0.9121870231644377,0.30000000000000004,0.6500000000000001,0.1118033988749895,40.0,330.0,12.909944487358056,36,119.99960000133332,0.8999999775000006,0.0033160000000000142,0.00788,0.004014295391729858,0.003939333333333346,0.010676666666666699,0.005076802787156769,0.0033414285714285803,0.010650000000000001,0.004341523809523809,0.020284999999999997,0.005938589752196893,0.007247523809523813,0.024940000000000004,0.009757827260618659,0.0032065714285714267,0.008863333333333404,0.0025481904761904682,0.0163916666666665,0.003730779953471433,0.0075234285714285256,0.0225966666666665,0.009849280741491492,0.002067047619047617,0.00633,-0.03859317201565546,0.18850827690316163,-0.7193234393394369,0.3273703359259047,0.0972329706048709,0.9121870231644377,1,4313R814,강원원주-202306,/Users/heegulee/Desktop/SMARTCS/make_ai/raw_pole_data/crop_merged/강원원주-202306/4313R814/4313R814_OUT_merged_break_crop.csv
