,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
1,0302Y061,6,OUT,6,0.2,38,45,0.414,0.384,0.345,0.643,0.619,-0.587,2.99,154.0,0.68,NG
0,0302Y061,4,OUT,2,0.25,26,40,0.305,0.305,0.325,0.552,-0.553,0.57,2.61,23.0,0.6,NG
