,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
3,0691Q882,3,OUT,2,0.2,38,35,0.304,0.707,0.774,-0.552,-0.841,0.88,4.06,13.0,0.52,NG
0,0691Q882,1,OUT,2,0.25,30,30,0.306,0.611,0.599,0.553,0.782,0.774,3.63,13.0,0.45,NG
6,0691Q882,7,OUT,7,0.25,38,35,0.327,0.633,0.558,0.572,0.797,0.747,3.63,347.0,0.52,NG
2,0691Q882,1,OUT,4,0.2,38,35,0.479,0.401,0.327,0.692,-0.633,0.572,3.11,39.0,0.52,NG
4,0691Q882,3,OUT,3,0.25,24,40,0.551,0.332,0.301,0.743,-0.576,-0.548,3.05,26.0,0.6,NG
5,0691Q882,3,OUT,4,0.2,34,40,0.409,0.435,0.32,-0.64,0.66,0.566,3.03,39.0,0.6,NG
1,0691Q882,1,OUT,3,0.25,30,30,0.319,0.361,0.444,0.565,-0.601,0.666,2.96,26.0,0.45,NG
7,0691Q882,7,OUT,8,0.25,38,35,0.313,0.332,0.422,-0.56,-0.576,0.65,2.85,360.0,0.52,NG
