,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
5,9206Q382,8,IN,8,0.2,20,50,0.591,0.335,0.591,0.769,0.579,0.769,3.63,315.0,-0.5,NG
2,9206Q382,6,OUT,2,0.2,22,55,0.56,0.368,0.324,0.748,0.607,0.57,3.18,283.0,0.82,NG
4,9206Q382,6,OUT,4,0.2,22,55,0.333,0.417,0.42,0.577,0.646,0.648,3.04,309.0,0.82,NG
0,9206Q382,3,OUT,7,0.2,32,55,0.485,0.366,0.316,0.697,-0.605,0.562,3.03,257.0,0.82,NG
3,9206Q382,6,OUT,3,0.2,30,55,0.337,0.344,0.438,0.58,-0.587,0.662,2.95,296.0,0.82,NG
1,9206Q382,6,OUT,1,0.25,30,55,0.442,0.345,0.302,-0.665,0.587,0.549,2.89,270.0,0.82,NG
