,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction
7,0329S612,7,OUT,3,0.25,20,60,0.781,0.339,0.482,0.884,0.582,0.694,3.76,296.0,0.9,NG
8,0329S612,11,OUT,2,0.2,20,45,0.75,0.373,0.379,0.867,-0.611,0.615,3.59,103.0,0.68,NG
9,0329S612,11,OUT,3,0.2,20,45,0.604,0.452,0.426,0.777,-0.672,0.653,3.59,116.0,0.68,NG
4,0329S612,6,OUT,7,0.3,20,60,0.764,0.346,0.342,0.874,0.588,0.585,3.5,257.0,0.9,NG
5,0329S612,6,OUT,8,0.25,20,60,0.484,0.361,0.497,0.696,0.6,0.705,3.34,270.0,0.9,NG
6,0329S612,7,OUT,2,0.2,20,60,0.428,0.361,0.49,0.654,0.601,0.7,3.23,283.0,0.9,NG
10,0329S612,11,OUT,4,0.2,20,45,0.352,0.41,0.439,0.593,0.641,0.662,3.1,129.0,0.68,NG
12,0329S612,11,OUT,7,0.2,20,45,0.382,0.443,0.319,0.618,-0.666,0.565,2.99,167.0,0.68,NG
1,0329S612,5,OUT,2,0.25,32,40,0.423,0.328,0.373,0.65,0.572,0.611,2.96,103.0,0.6,NG
2,0329S612,5,OUT,3,0.25,34,40,0.397,0.309,0.417,0.63,-0.556,0.646,2.95,116.0,0.6,NG
0,0329S612,5,OUT,1,0.2,30,40,0.372,0.374,0.336,0.61,0.612,0.58,2.88,90.0,0.6,NG
3,0329S612,5,OUT,4,0.2,26,40,0.349,0.328,0.322,0.591,0.573,0.567,2.73,129.0,0.6,NG
11,0329S612,11,OUT,6,0.2,20,55,0.338,0.304,0.331,0.581,0.551,0.575,2.68,154.0,0.82,NG
13,0329S612,2,IN,6,0.2,20,35,0.304,0.334,0.304,0.552,-0.578,0.552,2.62,225.0,-0.7,NG
