,poleid,s_num,stype,CH,simu_rate,S_position,X_location,mac_x_v,mac_y_v,mac_z_v,corrcoef_x,corrcoef_y,corrcoef_z,total,X_point_X,X_point_Y,prediction,breakstate
26,0231R402,11,OUT,6,0.2,20,45,0.938,0.912,0.897,0.969,0.955,0.947,5.62,64.0,0.68,NG,X
19,0231R402,10,OUT,7,0.2,20,55,0.682,0.925,0.955,0.826,0.962,0.978,5.33,77.0,0.82,NG,N
14,0231R402,10,OUT,1,0.2,20,55,0.78,0.771,0.856,0.883,-0.878,0.926,5.09,0.0,0.82,NG,N
28,0231R402,11,OUT,8,0.2,20,45,0.878,0.8,0.714,0.938,0.895,0.845,5.07,90.0,0.68,NG,X
18,0231R402,10,OUT,5,0.2,20,55,0.627,0.861,0.868,0.792,0.928,0.932,5.01,51.0,0.82,NG,N
20,0231R402,10,OUT,8,0.2,20,55,0.707,0.768,0.752,0.841,-0.877,0.868,4.81,90.0,0.82,NG,N
15,0231R402,10,OUT,2,0.2,20,55,0.713,0.745,0.747,0.844,0.863,0.864,4.78,13.0,0.82,NG,N
16,0231R402,10,OUT,3,0.2,20,55,0.576,0.793,0.825,0.759,0.891,0.908,4.75,26.0,0.82,NG,N
27,0231R402,11,OUT,7,0.2,20,45,0.407,0.883,0.903,0.639,0.94,0.95,4.72,77.0,0.68,NG,N
17,0231R402,10,OUT,4,0.2,20,55,0.465,0.765,0.879,0.683,0.875,0.939,4.61,39.0,0.82,NG,N
25,0231R402,11,OUT,5,0.2,20,45,0.565,0.762,0.74,0.752,0.873,0.861,4.55,51.0,0.68,NG,N
23,0231R402,11,OUT,3,0.2,20,45,0.38,0.785,0.712,0.616,-0.886,0.844,4.22,26.0,0.68,NG,N
24,0231R402,11,OUT,4,0.2,20,45,0.46,0.695,0.688,0.678,0.834,0.829,4.18,39.0,0.68,NG,N
22,0231R402,11,OUT,2,0.2,20,45,0.568,0.631,0.605,0.754,0.794,0.778,4.13,13.0,0.68,NG,N
29,0231R402,12,OUT,1,0.2,20,40,0.681,0.53,0.58,0.825,0.728,0.762,4.11,180.0,0.6,NG,N
10,0231R402,5,OUT,1,0.2,20,45,0.495,0.493,0.666,0.703,0.702,0.816,3.87,180.0,0.68,NG,N
33,0231R402,12,OUT,5,0.2,20,40,0.599,0.453,0.524,0.774,0.673,0.724,3.75,231.0,0.6,NG,X
0,0231R402,1,OUT,3,0.2,24,50,0.324,0.628,0.605,0.57,0.792,0.778,3.7,26.0,0.75,NG,N
7,0231R402,3,OUT,4,0.2,30,50,0.694,0.499,0.323,0.835,-0.707,0.57,3.63,219.0,0.75,NG,N
8,0231R402,4,OUT,7,0.2,36,55,0.491,0.705,0.305,0.701,-0.839,0.552,3.59,347.0,0.82,NG,N
1,0231R402,1,OUT,4,0.2,26,50,0.352,0.517,0.617,0.594,0.719,0.786,3.58,39.0,0.75,NG,N
32,0231R402,12,OUT,4,0.2,20,40,0.411,0.516,0.546,0.641,0.718,0.739,3.57,219.0,0.6,NG,N
5,0231R402,3,OUT,2,0.2,30,50,0.316,0.479,0.659,0.562,-0.692,0.812,3.52,193.0,0.75,NG,N
6,0231R402,3,OUT,3,0.2,26,50,0.68,0.327,0.447,0.825,-0.572,0.669,3.52,206.0,0.75,NG,N
30,0231R402,12,OUT,2,0.2,20,40,0.474,0.414,0.472,0.689,0.643,0.687,3.38,193.0,0.6,NG,N
3,0231R402,1,OUT,7,0.2,26,50,0.527,0.334,0.467,0.726,0.58,0.684,3.32,77.0,0.75,NG,N
4,0231R402,3,OUT,1,0.2,20,50,0.549,0.307,0.46,0.741,-0.555,0.678,3.29,180.0,0.75,NG,N
31,0231R402,12,OUT,3,0.2,24,40,0.304,0.499,0.5,0.551,-0.707,0.707,3.27,206.0,0.6,NG,N
2,0231R402,1,OUT,6,0.2,24,50,0.388,0.348,0.451,0.623,0.591,0.672,3.07,64.0,0.75,NG,N
21,0231R402,11,OUT,1,0.2,20,45,0.4,0.381,0.355,0.632,-0.617,0.595,2.98,0.0,0.68,NG,N
11,0231R402,5,OUT,2,0.2,20,45,0.342,0.35,0.437,0.585,0.592,0.661,2.97,193.0,0.68,NG,N
13,0231R402,5,OUT,4,0.2,20,45,0.355,0.341,0.432,0.596,0.584,0.657,2.96,219.0,0.68,NG,N
9,0231R402,4,OUT,8,0.2,28,55,0.358,0.385,0.316,0.598,0.621,0.562,2.84,360.0,0.82,NG,N
12,0231R402,5,OUT,3,0.2,22,45,0.302,0.365,0.395,0.549,0.604,0.629,2.84,206.0,0.68,NG,N
0,0231S582,,,,,,,,,,,,,,,,OK,N
4,0231Y041,8,OUT,4,0.2,34,45,0.311,0.748,0.823,0.558,-0.865,0.907,4.21,39.0,0.68,NG,N
6,0231Y041,8,OUT,6,0.2,20,45,0.63,0.448,0.451,0.794,0.669,0.671,3.66,64.0,0.68,NG,N
3,0231Y041,8,OUT,3,0.2,22,45,0.707,0.375,0.334,0.841,-0.612,0.578,3.45,26.0,0.68,NG,N
5,0231Y041,8,OUT,5,0.2,20,45,0.497,0.381,0.439,0.705,0.617,0.663,3.3,51.0,0.68,NG,N
0,0231Y041,1,OUT,5,0.2,26,45,0.309,0.377,0.385,0.556,-0.615,0.621,2.86,51.0,0.68,NG,N
2,0231Y041,1,OUT,7,0.2,58,50,0.305,0.425,0.305,-0.553,-0.652,0.552,2.79,77.0,0.75,NG,N
1,0231Y041,1,OUT,6,0.2,26,45,0.319,0.334,0.352,0.565,-0.578,0.594,2.74,64.0,0.68,NG,N
0,0232B372,,,,,,,,,,,,,,,,OK,N
0,0232B501,,,,,,,,,,,,,,,,OK,N
0,0232B702,,,,,,,,,,,,,,,,OK,N
0,0232D862,,,,,,,,,,,,,,,,OK,N
0,0232H523,,,,,,,,,,,,,,,,X,N
0,0232Q511,,,,,,,,,,,,,,,,OK,N
0,0232Q743,,,,,,,,,,,,,,,,OK,N
0,0232R811,,,,,,,,,,,,,,,,OK,N
0,0232R821,,,,,,,,,,,,,,,,X,N
0,0232S312,,,,,,,,,,,,,,,,X,N
0,0232S321,,,,,,,,,,,,,,,,OK,N
0,0232S343,,,,,,,,,,,,,,,,X,N
0,0232S444,,,,,,,,,,,,,,,,OK,N
0,0232S491,,,,,,,,,,,,,,,,OK,N
0,0232S772,,,,,,,,,,,,,,,,OK,N
0,0232S842,,,,,,,,,,,,,,,,OK,N
0,0232S871,,,,,,,,,,,,,,,,OK,N
0,0232W244,,,,,,,,,,,,,,,,OK,N
0,0232Y792,,,,,,,,,,,,,,,,OK,N
8,0233S873,5,OUT,6,0.2,34,40,0.345,0.44,0.561,0.587,-0.663,0.749,3.35,64.0,0.6,NG,N
9,0233S873,5,OUT,7,0.2,32,40,0.618,0.392,0.328,0.786,-0.626,0.573,3.32,77.0,0.6,NG,N
6,0233S873,5,OUT,4,0.2,32,40,0.494,0.404,0.358,0.703,0.635,0.599,3.19,39.0,0.6,NG,N
10,0233S873,5,OUT,8,0.5,20,40,0.498,0.301,0.386,0.706,-0.549,0.622,3.06,90.0,0.6,NG,N
1,0233S873,2,OUT,4,0.2,28,60,0.305,0.44,0.421,-0.552,-0.664,0.649,3.03,129.0,0.9,NG,N
3,0233S873,3,OUT,8,0.2,30,45,0.33,0.402,0.431,-0.575,0.634,-0.656,3.03,270.0,0.68,NG,N
7,0233S873,5,OUT,5,0.2,30,40,0.353,0.316,0.372,0.594,-0.562,0.61,2.81,51.0,0.6,NG,N
5,0233S873,4,OUT,2,0.2,34,50,0.315,0.403,0.32,-0.561,-0.635,-0.566,2.8,283.0,0.75,NG,N
0,0233S873,1,OUT,6,0.7,24,45,0.385,0.343,0.303,-0.62,-0.586,-0.551,2.79,64.0,0.68,NG,N
4,0233S873,4,OUT,1,0.2,26,50,0.336,0.363,0.313,-0.58,0.602,0.559,2.75,270.0,0.75,NG,N
2,0233S873,3,OUT,7,0.2,32,45,0.307,0.313,0.327,-0.555,-0.559,0.572,2.63,257.0,0.68,NG,N
0,0329G722,,,,,,,,,,,,,,,,OK,N
0,0329P912,,,,,,,,,,,,,,,,OK,N
0,0329R251,,,,,,,,,,,,,,,,OK,N
0,0329R274,,,,,,,,,,,,,,,,OK,N
0,0329R801,,,,,,,,,,,,,,,,OK,N
0,0329R813,,,,,,,,,,,,,,,,OK,N
0,0329R823,,,,,,,,,,,,,,,,X,N
7,0329S612,7,OUT,3,0.25,20,60,0.781,0.339,0.482,0.884,0.582,0.694,3.76,296.0,0.9,NG,N
8,0329S612,11,OUT,2,0.2,20,45,0.75,0.373,0.379,0.867,-0.611,0.615,3.59,103.0,0.68,NG,N
9,0329S612,11,OUT,3,0.2,20,45,0.604,0.452,0.426,0.777,-0.672,0.653,3.59,116.0,0.68,NG,N
4,0329S612,6,OUT,7,0.3,20,60,0.764,0.346,0.342,0.874,0.588,0.585,3.5,257.0,0.9,NG,N
5,0329S612,6,OUT,8,0.25,20,60,0.484,0.361,0.497,0.696,0.6,0.705,3.34,270.0,0.9,NG,N
6,0329S612,7,OUT,2,0.2,20,60,0.428,0.361,0.49,0.654,0.601,0.7,3.23,283.0,0.9,NG,N
10,0329S612,11,OUT,4,0.2,20,45,0.352,0.41,0.439,0.593,0.641,0.662,3.1,129.0,0.68,NG,N
